exchange;first_currency;second_currency;exchange_pair_id;time;open;high;low;close;volume;market_cap
BEQUANT;BTC;USD;13;2026-01-22 00:00:00+00:00;89472.29;90319.2;88714.1;89426.63;461.56152;
BEQUANT;BTC;USD;13;2026-01-21 00:00:00+00:00;88498.71;90500.0;87329.64;89461.65;879.55486;
BEQUANT;BTC;USD;13;2026-01-20 00:00:00+00:00;92613.74;92839.63;87979.16;88403.28;620.65272;
BEQUANT;BTC;USD;13;2026-01-19 00:00:00+00:00;93607.0;93607.0;92010.78;92610.09;535.34714;
BEQUANT;BTC;USD;13;2026-01-18 00:00:00+00:00;95165.68;95534.72;93638.8;93690.04;235.05004;
BEQUANT;BTC;USD;13;2026-01-17 00:00:00+00:00;95527.16;95640.94;95065.12;95153.61;159.43625;
BEQUANT;BTC;USD;13;2026-01-16 00:00:00+00:00;95585.24;95800.59;94364.24;95573.02;346.84008;
BEQUANT;BTC;USD;13;2026-01-15 00:00:00+00:00;96934.37;97186.16;95146.25;95607.21;660.0157;
BEQUANT;BTC;USD;13;2026-01-14 00:00:00+00:00;95429.78;97800.0;94674.95;97026.28;952.40093;
BEQUANT;BTC;USD;13;2026-01-13 00:00:00+00:00;91295.87;96168.88;91076.8;95403.79;648.30501;
BEQUANT;BTC;USD;13;2026-01-12 00:00:00+00:00;90960.46;92490.16;90152.73;91297.4;523.02859;
BEQUANT;BTC;USD;13;2026-01-11 00:00:00+00:00;90485.46;91282.76;90375.3;90967.09;183.33265;
BEQUANT;BTC;USD;13;2026-01-10 00:00:00+00:00;90665.08;90841.31;90394.64;90507.55;141.44067;
BEQUANT;BTC;USD;13;2026-01-09 00:00:00+00:00;91132.45;91941.9;89750.0;90635.95;392.36187;
BEQUANT;BTC;USD;13;2026-01-08 00:00:00+00:00;91378.42;91516.26;89437.79;91107.76;495.03818;
BEQUANT;BTC;USD;13;2026-01-07 00:00:00+00:00;93729.47;93729.47;90715.26;91369.92;536.80279;
BEQUANT;BTC;USD;13;2026-01-06 00:00:00+00:00;93885.51;94425.52;91437.22;93772.35;500.65433;
BEQUANT;BTC;USD;13;2026-01-05 00:00:00+00:00;91567.26;94750.0;91567.26;93864.84;601.86898;
BEQUANT;BTC;USD;13;2026-01-04 00:00:00+00:00;90626.04;91750.0;90626.04;91545.75;392.28104;
BEQUANT;BTC;USD;13;2026-01-03 00:00:00+00:00;90029.13;90736.55;89406.93;90627.49;271.91777;
BEQUANT;BTC;USD;13;2026-01-02 00:00:00+00:00;88840.66;90912.01;88394.76;89999.4;559.19497;
BEQUANT;BTC;USD;13;2026-01-01 00:00:00+00:00;87702.63;88891.0;87565.56;88835.49;216.8003;
BEQUANT;BTC;USD;13;2025-12-31 00:00:00+00:00;88481.81;89163.95;87337.84;87653.68;333.10876;
BEQUANT;BTC;USD;13;2025-12-30 00:00:00+00:00;87290.45;89360.46;86920.19;88498.74;499.9941;
BEQUANT;BTC;USD;13;2025-12-29 00:00:00+00:00;87962.54;90357.1;86897.95;87233.11;605.62572;
BEQUANT;BTC;USD;13;2025-12-28 00:00:00+00:00;87936.17;88023.61;87464.9;87907.47;189.96735;
BEQUANT;BTC;USD;13;2025-12-27 00:00:00+00:00;87366.09;87920.81;87269.2;87878.49;193.15527;
BEQUANT;BTC;USD;13;2025-12-26 00:00:00+00:00;87251.84;89516.84;86700.0;87368.27;516.40169;
BEQUANT;BTC;USD;13;2025-12-25 00:00:00+00:00;87568.61;88538.04;86992.21;87273.62;200.69212;
BEQUANT;BTC;USD;13;2025-12-24 00:00:00+00:00;87484.15;88025.57;86409.96;87678.39;288.33714;
BEQUANT;BTC;USD;13;2025-12-23 00:00:00+00:00;88541.14;88914.0;86684.08;87456.04;437.76148;
BEQUANT;BTC;USD;13;2025-12-22 00:00:00+00:00;88718.98;90544.21;87941.77;88541.46;513.63423;
BEQUANT;BTC;USD;13;2025-12-21 00:00:00+00:00;88398.06;89049.22;87639.38;88642.64;259.14097;
BEQUANT;BTC;USD;13;2025-12-20 00:00:00+00:00;88146.3;88500.0;87899.43;88369.25;172.64206;
BEQUANT;BTC;USD;13;2025-12-19 00:00:00+00:00;85543.56;89342.09;85163.46;88137.82;531.96825;
