exchange;first_currency;second_currency;exchange_pair_id;time;open;high;low;close;volume;market_cap
BEQUANT;BTC;USDB;2;2024-09-23 00:00:00+00:00;63835.18;66225.3;63038.44;65577.15;0.06089;
BEQUANT;BTC;USDB;2;2024-09-16 00:00:00+00:00;59116.86;64100.88;57575.16;63833.26;1.24632;
BEQUANT;BTC;USDB;2;2024-09-09 00:00:00+00:00;54850.57;60576.55;54615.74;59046.41;4.96881;
BEQUANT;BTC;USDB;2;2024-09-02 00:00:00+00:00;57382.2;59752.5;52627.43;54823.38;9.28464;
BEQUANT;BTC;USDB;2;2024-08-26 00:00:00+00:00;64304.95;64304.95;57330.22;57348.61;1.61714;
BEQUANT;BTC;USDB;2;2024-08-19 00:00:00+00:00;58396.57;65001.2;57932.99;64279.77;2.80658;
BEQUANT;BTC;USDB;2;2024-08-12 00:00:00+00:00;58958.85;61628.17;56301.69;58791.23;9.45431;
BEQUANT;BTC;USDB;2;2024-08-05 00:00:00+00:00;58129.9;62566.62;49175.6;58777.82;13.3933;
BEQUANT;BTC;USDB;2;2024-07-29 00:00:00+00:00;68337.81;69956.98;57276.38;58064.04;6.43486;
BEQUANT;BTC;USDB;2;2024-07-22 00:00:00+00:00;68235.14;69352.18;63534.58;68062.72;9.32467;
BEQUANT;BTC;USDB;2;2024-07-15 00:00:00+00:00;60716.8;68347.82;60716.8;68139.42;7.91993;
BEQUANT;BTC;USDB;2;2024-07-08 00:00:00+00:00;55872.89;61175.73;54328.01;60775.51;4.1873;
BEQUANT;BTC;USDB;2;2024-07-01 00:00:00+00:00;62650.73;63738.65;53802.71;55840.87;10.87767;
BEQUANT;BTC;USDB;2;2024-06-24 00:00:00+00:00;63105.78;63266.56;58558.97;62730.14;2.99585;
BEQUANT;BTC;USDB;2;2024-06-17 00:00:00+00:00;66660.47;67044.13;63181.31;63181.31;1.70294;
BEQUANT;BTC;USDB;2;2024-06-10 00:00:00+00:00;69570.48;70079.37;65059.83;66616.33;1.3191;
BEQUANT;BTC;USDB;2;2024-06-03 00:00:00+00:00;67609.64;71880.92;67609.64;69719.56;1.60721;
BEQUANT;BTC;USDB;2;2024-05-27 00:00:00+00:00;68837.59;70573.31;66704.57;67917.95;0.90159;
BEQUANT;BTC;USDB;2;2024-05-20 00:00:00+00:00;66266.3;71957.89;66192.36;68479.43;12.67624;
BEQUANT;BTC;USDB;2;2024-05-13 00:00:00+00:00;61531.98;67689.05;60839.4;66362.31;5.18351;
BEQUANT;BTC;USDB;2;2024-05-06 00:00:00+00:00;64215.33;65345.75;60298.91;61480.24;8.05767;
